Model,Accuracy,Precision,Recall,F1_Score,AUC_ROC,Train_Time_s
Support Vector Machine,0.805,0.8098802395209581,0.8348765432098766,0.8221884498480243,0.8818619721774914,21.31
Gradient Boosting,0.7970833333333334,0.8020911127707244,0.8287037037037037,0.815180265654649,0.8854837627482555,5.5
Logistic Regression,0.7891666666666667,0.7961019490254873,0.8194444444444444,0.8076045627376426,0.8707547750044732,0.03
Random Forest,0.78875,0.7920059215396003,0.8256172839506173,0.8084624102757839,0.8747015622204329,2.64
K-Nearest Neighbors,0.75875,0.7603485838779956,0.8078703703703703,0.7833894500561167,0.823812329464126,0.0
Decision Tree,0.7354166666666667,0.7528691660290742,0.7592592592592593,0.7560507107184018,0.8060465451109322,0.05
